stem,term_id,n_tokens,n_docs,pos_mode,pos_coarse,example_word,tf,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
exhort,4277,10,3,VBD,VERB,exhorted,2.930334233922721e-05,3,0.12493873660829993,4.1450832733061915e-06,1.2435249819918575e-05,2.3137231542861895e-06,9.169046436556823e-06
tin,4278,10,3,NN,NOUN,tin,2.930334233922721e-05,3,0.12493873660829993,4.1019686644639755e-06,1.2305905993391927e-05,1.9049604581511288e-06,9.091081758589822e-06
denounc,4279,10,2,VBD,VERB,denounced,2.930334233922721e-05,2,0.3010299956639812,1.491897803557119e-05,2.983795607114238e-05,1.491897803557119e-05,2.5248104644557725e-05
deport,4280,10,3,NN,NOUN,deported,2.930334233922721e-05,3,0.12493873660829993,4.1093938718894035e-06,1.2328181615668211e-05,3.929591329952925e-06,6.4936298275641585e-06
cathedr,4281,10,3,NNP,NOUN,cathedral,2.930334233922721e-05,3,0.12493873660829993,3.990266022697601e-06,1.1970798068092801e-05,2.857440687226693e-06,6.4936298275641585e-06
thrifti,4282,10,3,JJ,ADJ,thrifty,2.930334233922721e-05,3,0.12493873660829993,4.2493607076471385e-06,1.2748082122941416e-05,5.1949038620513275e-06,5.239455106603899e-06
viceroyalti,4283,10,2,NN,NOUN,viceroyalty,2.930334233922721e-05,2,0.3010299956639812,1.5304076017784062e-05,3.0608152035568125e-05,1.5304076017784062e-05,2.503341925044282e-05
breadth,4284,10,4,NN,NOUN,breadth,2.930334233922721e-05,4,0.0,,0.0,,0.0
discourag,4285,10,2,VBG,VERB,discouraging,2.930334233922721e-05,2,0.3010299956639812,1.4057890668293802e-05,2.8115781336587604e-05,1.4057890668293802e-05,1.8936078483418294e-05
disembark,4286,10,2,VBD,VERB,disembarked,2.930334233922721e-05,2,0.3010299956639812,1.2213289585367123e-05,2.4426579170734246e-05,1.2213289585367123e-05,1.6064479993046294e-05
brigad,4287,10,3,NN,NOUN,brigade,2.930334233922721e-05,3,0.12493873660829993,4.217383909943065e-06,1.2652151729829195e-05,1.3098637766509747e-06,1.0389807724102655e-05
suck,4288,10,4,VBD,VERB,sucked,2.930334233922721e-05,4,0.0,,0.0,,0.0
